device_id,site,status,last_seen,latitude,longitude
STL-001,A,offline,28-03-2026 12:00,28.70,77.10
STL-002,B,online,28-03-2026 01:00,19.07,72.87
STL-003,C,offline,27-03-2026 12:00,12.97,77.59
STL-004,D,online,28-03-2026 01:00,17.38,78.48
STL-005,E,offline,27-03-2026 12:00,13.08,80.27
STL-006,F,offline,27-03-2026 12:00,22.57,88.36
STL-007,G,online,28-03-2026 01:00,18.52,73.85
STL-008,H,online,28-03-2026 01:00,23.02,72.57
STL-009,I,online,28-03-2026 01:00,26.91,75.78
STL-010,J,online,28-03-2026 01:00,26.85,80.94
STL-011,K,online,28-03-2026 01:00,26.44,80.33
STL-012,L,online,28-03-2026 01:00,21.14,79.08
STL-013,M,online,28-03-2026 01:00,22.71,75.86
STL-014,N,online,28-03-2026 01:00,23.25,77.41
STL-015,O,online,28-03-2026 01:00,25.59,85.13
