device_id,alert_type,timestamp
STL-001,Timeout Error,28-03-2026 01:00
STL-001,Ping Failed,28-03-2026 01:00
STL-001,Signal Weak,28-03-2026 01:00
STL-002,Ping Failed,28-03-2026 01:00
STL-002,Ping Failed,28-03-2026 01:00
STL-002,Ping Failed,28-03-2026 01:00
STL-003,Signal Weak,28-03-2026 01:00
STL-003,Power Fluctuation,28-03-2026 01:00
STL-003,Latency Spike,28-03-2026 01:00
STL-003,Signal Weak,28-03-2026 01:00
STL-005,Timeout Error,28-03-2026 01:00
STL-005,Component Offline,28-03-2026 01:00
STL-005,Latency Spike,28-03-2026 01:00
STL-005,Power Fluctuation,28-03-2026 01:00
STL-005,Ping Failed,28-03-2026 01:00
STL-006,System Failure,28-03-2026 01:00
STL-006,Ping Failed,28-03-2026 01:00
STL-006,Signal Weak,28-03-2026 01:00
STL-006,Timeout Error,28-03-2026 01:00
STL-006,Component Offline,28-03-2026 01:00
STL-007,Component Offline,28-03-2026 01:00
STL-009,Timeout Error,28-03-2026 01:00
STL-011,Power Fluctuation,28-03-2026 01:00
STL-012,Latency Spike,28-03-2026 01:00
STL-012,Component Offline,28-03-2026 01:00
STL-012,Power Fluctuation,28-03-2026 01:00
STL-012,Latency Spike,28-03-2026 01:00
STL-012,System Failure,28-03-2026 01:00
STL-014,Ping Failed,28-03-2026 01:00
STL-014,Power Fluctuation,28-03-2026 01:00
STL-014,Latency Spike,28-03-2026 01:00
STL-014,Latency Spike,28-03-2026 01:00
STL-014,Power Fluctuation,28-03-2026 01:00
STL-015,System Failure,28-03-2026 01:00
STL-015,Timeout Error,28-03-2026 01:00
STL-015,System Failure,28-03-2026 01:00
STL-015,Latency Spike,28-03-2026 01:00
