device_id,date,data_used_gb
STL-001,2026-03-26,24
STL-001,2026-03-27,22
STL-001,2026-03-28,21
STL-002,2026-03-26,33
STL-002,2026-03-27,37
STL-002,2026-03-28,32
STL-003,2026-03-26,35
STL-003,2026-03-27,35
STL-003,2026-03-28,32
STL-004,2026-03-26,19
STL-004,2026-03-27,21
STL-004,2026-03-28,23
STL-005,2026-03-26,14
STL-005,2026-03-27,11
STL-005,2026-03-28,9
STL-006,2026-03-26,32
STL-006,2026-03-27,37
STL-006,2026-03-28,36
STL-007,2026-03-26,34
STL-007,2026-03-27,36
STL-007,2026-03-28,35
STL-008,2026-03-26,32
STL-008,2026-03-27,38
STL-008,2026-03-28,55
STL-009,2026-03-26,27
STL-009,2026-03-27,30
STL-009,2026-03-28,26
STL-010,2026-03-26,33
STL-010,2026-03-27,31
STL-010,2026-03-28,30
STL-011,2026-03-26,29
STL-011,2026-03-27,32
STL-011,2026-03-28,30
STL-012,2026-03-26,30
STL-012,2026-03-27,32
STL-012,2026-03-28,32
STL-013,2026-03-26,27
STL-013,2026-03-27,25
STL-013,2026-03-28,27
STL-014,2026-03-26,52
STL-014,2026-03-27,58
STL-014,2026-03-28,62
STL-015,2026-03-26,22
STL-015,2026-03-27,25
STL-015,2026-03-28,25
